0.0
[-1997.0, -1518.0][-1997.0, -1518.0]
[358.0, -1308.0][358.0, -1308.0]
[370.0, 251.0][370.0, 251.0]
[379.0, -1689.0][379.0, -1689.0]
[396.0, 486.0][396.0, 486.0]
[408.0, -806.0][408.0, -806.0]
[423.0, 859.0][423.0, 859.0]
[427.0, -354.0][427.0, -354.0]
[430.0, 508.0][430.0, 508.0]
[439.0, -1685.0][439.0, -1685.0]
[449.0, 1252.0][449.0, 1252.0]
[481.0, -1334.0][481.0, -1334.0]
[514.0, -968.0][514.0, -968.0]
[531.0, 414.0][531.0, 414.0]
[533.0, 655.0][533.0, 655.0]
[546.0, 473.0][546.0, 473.0]
[569.0, -1248.0][569.0, -1248.0]
[584.0, -371.0][584.0, -371.0]
[602.0, -683.0][602.0, -683.0]
[650.0, 329.0][650.0, 329.0]
[678.0, -988.0][678.0, -988.0]
[682.0, -1291.0][682.0, -1291.0]
[685.0, -401.0][685.0, -401.0]
[693.0, 455.0][693.0, 455.0]
[699.0, 1908.0][699.0, 1908.0]
[708.0, 720.0][708.0, 720.0]
[716.0, -1533.0][716.0, -1533.0]
[728.0, 1009.0][728.0, 1009.0]
[732.0, 573.0][732.0, 573.0]
[764.0, 944.0][764.0, 944.0]
[769.0, -1907.0][769.0, -1907.0]
[777.0, -88.0][777.0, -88.0]
[795.0, 1380.0][795.0, 1380.0]
[852.0, 585.0][852.0, 585.0]
[857.0, -461.0][857.0, -461.0]
[896.0, 531.0][896.0, 531.0]
[898.0, 1511.0][898.0, 1511.0]
[906.0, 1906.0][906.0, 1906.0]
[924.0, 52.0][924.0, 52.0]
[967.0, -1225.0][967.0, -1225.0]
[990.0, -894.0][990.0, -894.0]
[1002.0, -1948.0][1002.0, -1948.0]
[1042.0, -1604.0][1042.0, -1604.0]
[1046.0, 1601.0][1046.0, 1601.0]
[1050.0, -138.0][1050.0, -138.0]
[1053.0, -1681.0][1053.0, -1681.0]
[1057.0, 1294.0][1057.0, 1294.0]
[1065.0, -1331.0][1065.0, -1331.0]
[1077.0, -435.0][1077.0, -435.0]
[1083.0, -308.0][1083.0, -308.0]
[1109.0, 928.0][1109.0, 928.0]
[1180.0, 112.0][1180.0, 112.0]
[1197.0, -727.0][1197.0, -727.0]
[1247.0, 1746.0][1247.0, 1746.0]
[1341.0, -1083.0][1341.0, -1083.0]
[1359.0, -918.0][1359.0, -918.0]
[1363.0, 371.0][1363.0, 371.0]
[1375.0, 1736.0][1375.0, 1736.0]
[1383.0, 852.0][1383.0, 852.0]
[1387.0, 139.0][1387.0, 139.0]
[1406.0, 1131.0][1406.0, 1131.0]
[1413.0, -352.0][1413.0, -352.0]
[1413.0, 337.0][1413.0, 337.0]
[1448.0, 1289.0][1448.0, 1289.0]
[1453.0, 500.0][1453.0, 500.0]
[1454.0, 503.0][1454.0, 503.0]
[1477.0, -1999.0][1477.0, -1999.0]
[1478.0, -931.0][1478.0, -931.0]
[1485.0, -635.0][1485.0, -635.0]
[1499.0, -56.0][1499.0, -56.0]
[1510.0, -97.0][1510.0, -97.0]
[1518.0, 1767.0][1518.0, 1767.0]
[1530.0, 1996.0][1530.0, 1996.0]
[1531.0, -1876.0][1531.0, -1876.0]
[1536.0, -622.0][1536.0, -622.0]
[1546.0, -36.0][1546.0, -36.0]
[1619.0, -887.0][1619.0, -887.0]
[1630.0, 128.0][1630.0, 128.0]
[1667.0, 1400.0][1667.0, 1400.0]
[1670.0, 58.0][1670.0, 58.0]
[1693.0, -464.0][1693.0, -464.0]
[1700.0, 1559.0][1700.0, 1559.0]
[1715.0, 267.0][1715.0, 267.0]
[1795.0, 63.0][1795.0, 63.0]
[1835.0, 829.0][1835.0, 829.0]
[1849.0, -387.0][1849.0, -387.0]
[1925.0, -900.0][1925.0, -900.0]
[1952.0, 805.0][1952.0, 805.0]
[1960.0, -1276.0][1960.0, -1276.0]
[1976.0, -605.0][1976.0, -605.0]
[1993.0, 1165.0][1993.0, 1165.0]
[1995.0, 710.0][1995.0, 710.0]
